trial_id,condition,task_type,item_id,difficulty,temperature,extracted_answer,correct_answer,is_correct,answer_extracted,word_count,sentence_count,line_count,reasoning_steps,words_per_sentence,grounded_markers,bare_assertion_markers,specificity_ratio,n_violations,latency_seconds,output_tokens
9d848d30d30d731a,control,syllogisms,syl_01,easy,0.0,VALID,VALID,True,True,199,8,23,5,24.9,0,0,0.0,0,3.777,335
8664d0686527e087,control,syllogisms,syl_02,easy,0.0,INVALID,INVALID,True,True,208,11,27,0,18.9,0,0,0.0,0,3.052,340
e1c79863c94d6f93,control,syllogisms,syl_03,medium,0.0,VALID,VALID,True,True,203,19,23,5,10.7,2,0,1.0,0,3.082,371
a912a46aa564472d,control,syllogisms,syl_04,medium,0.0,INVALID,INVALID,True,True,217,8,30,3,27.1,1,0,1.0,0,3.535,430
522abb6148a3964e,control,syllogisms,syl_05,medium,0.0,VALID,VALID,True,True,178,9,28,12,19.8,1,0,1.0,0,2.714,368
641372b1630bc87f,control,syllogisms,syl_06,hard,0.0,INVALID,INVALID,True,True,236,16,24,2,14.8,2,0,1.0,0,3.481,358
89eca8345ecafdbc,control,syllogisms,syl_07,hard,0.0,VALID,VALID,True,True,185,6,28,8,30.8,0,0,0.0,0,3.554,383
ae2fe178bb6567ac,control,syllogisms,syl_08,hard,0.0,INVALID,INVALID,True,True,199,22,22,6,9.0,1,0,1.0,0,3.135,351
d224fcd0444b2c24,control,syllogisms,syl_09,hard,0.0,VALID,VALID,True,True,199,7,31,8,28.4,3,0,1.0,0,2.796,363
303f54d0602bbccb,control,syllogisms,syl_10,hard,0.0,INVALID,INVALID,True,True,226,13,22,3,17.4,0,0,0.0,0,3.718,381
3d0ad47b59b73fcc,control,syllogisms,syl_11,easy,0.0,VALID,VALID,True,True,177,4,23,5,44.2,1,0,1.0,0,2.627,324
2ecb5c13da1f6ad9,control,syllogisms,syl_12,medium,0.0,VALID,VALID,True,True,218,19,23,12,11.5,1,0,1.0,0,3.178,343
